trip_id,stop_sequence,stop_id,arrival_time,departure_time
K1,0,100-02,06:49:00,06:50:00
K1,1,101-01,06:55:00,06:55:00
K1,2,102-01,07:00:00,07:00:00
K1,3,103-01,07:05:00,07:05:00
K1,4,104-01,07:10:00,07:10:00
K1,5,105-01,07:15:00,07:15:00
K1,6,106-01,07:20:00,07:20:00
K1,7,107-01,07:25:00,07:25:00
K1,8,109-01,07:30:00,07:30:00
K1,9,108-02,07:31:30,07:31:40
K2,0,108-01,07:31:50,07:32:00
K2,1,110-01,08:00:00,08:00:00
K2,2,111-01,08:05:00,08:05:00
K2,3,112-01,08:10:00,08:10:00
K2,4,113-01,08:15:00,08:15:00
K2,5,114-01,08:20:00,08:20:00
K2,6,115-01,08:25:00,08:25:00
K2,7,116-01,08:30:00,08:30:00
K2,8,117-01,08:32:00,08:32:00
K2,9,108-02,08:36:50,08:37:00
K2,10,109-01,08:39:40,08:39:40
K3,0,109-01,08:40:00,08:40:00
K3,1,118-01,08:50:00,08:50:00
K3,2,119-01,08:55:00,08:55:00
K3,3,120-01,09:00:00,09:00:00
K3,4,121-01,09:05:00,09:05:00
K3,5,109-01,09:10:00,09:10:00
K3,6,108-02,09:11:30,09:11:40
K4,0,108-01,09:14:50,09:15:00
K4,1,122-02,09:30:00,09:30:00
K4,2,123-01,09:35:00,09:35:00
K4,3,124-01,09:40:00,09:40:00
K4,4,125-01,09:45:00,09:45:00
K4,5,108-02,09:49:30,09:50:00
K4,6,109-01,09:52:00,09:52:00
K5,0,109-01,11:22:00,11:22:00
K5,1,108-02,11:24:50,11:25:00
K5,2,121-01,11:30:00,11:30:00
K5,3,120-02,11:35:00,11:35:00
K5,4,119-01,11:40:00,11:40:00
K5,5,118-01,11:45:00,11:45:00
K5,6,100-02,11:50:00,11:50:00
K5,7,101-01,11:55:00,11:55:00
K5,8,102-01,12:00:00,12:00:00
K5,9,103-01,12:05:00,12:05:00
K5,10,104-01,12:10:00,12:10:00
K5,11,105-01,12:15:00,12:15:00
K5,12,106-01,12:20:00,12:20:00
K5,13,107-01,12:25:00,12:25:00
K5,14,109-01,12:29:40,12:29:40
K6,0,109-01,12:30:00,12:30:00
K6,1,108-02,12:32:50,12:33:00
K6,2,117-01,12:38:00,12:38:00
K6,3,116-01,12:40:00,12:40:00
K6,4,115-01,12:45:00,12:45:00
K6,5,114-01,12:50:00,12:50:00
K6,6,113-01,12:55:00,12:55:00
K6,7,112-02,13:00:00,13:00:00
K6,8,111-01,13:05:00,13:05:00
K6,9,110-01,13:10:00,13:10:00
K6,10,109-01,13:29:40,13:29:40
K7,0,109-01,13:30:00,13:30:00
K7,1,108-02,13:32:50,13:33:00
K7,2,125-01,13:38:00,13:38:00
K7,3,124-01,13:43:00,13:43:00
K7,4,123-01,13:48:00,13:48:00
K7,5,122-03,13:53:00,13:53:00
