stop_id,stop_name,stop_lat,stop_lon
100-01,Wielka Tymawa,53.5030451,19.2264650
100-02,Wielka Tymawa,53.5029866,19.2254090
101-01,Osówko,53.4913809,19.2415176
101-02,Osówko,53.4911115,19.2417409
102-01,Sumin,53.4779242,19.2454666
103-01,Mierzyn,53.4679216,19.2636993
104-01,Rywałdzik,53.4427803,19.2521042
105-01,Wardęgowo,53.4488653,19.3009157
106-01,Lipinki,53.4699183,19.3178648
107-01,Sędzice,53.4879639,19.3128545
108-01,Biskupiec Rynek,53.5003385,19.3509493
108-02,Biskupiec Rynek,53.5004791,19.3518535
109-01,Biskupiec Jesionowa (I),53.4993596,19.342229
110-01,Ostrowite-Dworzec,53.4340873,19.2694237
111-01,Ostrowite-Szkoła (I),53.4202307,19.274873
112-01,Osetno,53.4276637,19.3034478
112-02,Osetno,53.4277446,19.3034877
113-01,Łąkorek,53.416865,19.3384048
114-01,Łąkorz,53.444246,19.3535581
115-01,Gaj,53.4576636,19.3762196
116-01,Bielice-Dworzec,53.4900921,19.3888769
117-01,Krotoszyny,53.5042376,19.3954152
118-01,Podlasek,53.5088695,19.2668987
118-02,Podlasek,53.5090495,19.2683015
119-01,Podlasek Mały,53.5238963,19.2680004
120-01,Słupnica,53.5109022,19.3027051
120-02,Słupnica,53.5109347,19.3025162
121-01,Piotrowice,53.5253105,19.3402372
122-01,Wonna,53.5373354,19.4613215
122-02,Wonna,53.537639,19.4608324
122-03,Wonna,53.53794,19.4607871
123-01,Wielka Wólka,53.5599144,19.4426999
124-01,Szwarcenowo,53.5441909,19.4061945
125-01,Czachówki,53.5129671,19.3813535
