service_id,date,exception_type
DP,20250101,2
DP,20250106,2
DP,20250420,2
DP,20250421,2
DP,20250501,2
DP,20250503,2
DP,20250608,2
DP,20250619,2
DP,20250815,2
DP,20251101,2
DP,20251111,2
DP,20251224,2
DP,20251225,2
DP,20251226,2
DP,20260101,2
DP,20260106,2
DP,20260405,2
DP,20260406,2
DP,20260501,2
DP,20260503,2
DP,20260524,2
DP,20260604,2
DP,20260815,2
DP,20261101,2
DP,20261111,2
DP,20261224,2
DP,20261225,2
DP,20261226,2
DP,20270101,2
DP,20270106,2
DP,20270328,2
DP,20270329,2
DP,20270501,2
DP,20270503,2
DP,20270516,2
DP,20270527,2
DP,20270815,2
DP,20271101,2
DP,20271111,2
DP,20271224,2
DP,20271225,2
DP,20271226,2
DP,20280101,2
DP,20280106,2
DP,20280416,2
DP,20280417,2
DP,20280501,2
DP,20280503,2
DP,20280604,2
DP,20280615,2
DP,20280815,2
DP,20281101,2
DP,20281111,2
DP,20281224,2
DP,20281225,2
DP,20281226,2
DP,20290101,2
DP,20290106,2
DP,20290401,2
DP,20290402,2
DP,20290501,2
DP,20290503,2
DP,20290520,2
DP,20290531,2
DP,20290815,2
DP,20291101,2
DP,20291111,2
DP,20291224,2
DP,20291225,2
DP,20291226,2
DP+SB,20250101,2
DP+SB,20250106,2
DP+SB,20250420,2
DP+SB,20250421,2
DP+SB,20250501,2
DP+SB,20250503,2
DP+SB,20250608,2
DP+SB,20250619,2
DP+SB,20250815,2
DP+SB,20251101,2
DP+SB,20251111,2
DP+SB,20251224,2
DP+SB,20251225,2
DP+SB,20251226,2
DP+SB,20260101,2
DP+SB,20260106,2
DP+SB,20260405,2
DP+SB,20260406,2
DP+SB,20260501,2
DP+SB,20260503,2
DP+SB,20260524,2
DP+SB,20260604,2
DP+SB,20260815,2
DP+SB,20261101,2
DP+SB,20261111,2
DP+SB,20261224,2
DP+SB,20261225,2
DP+SB,20261226,2
DP+SB,20270101,2
DP+SB,20270106,2
DP+SB,20270328,2
DP+SB,20270329,2
DP+SB,20270501,2
DP+SB,20270503,2
DP+SB,20270516,2
DP+SB,20270527,2
DP+SB,20270815,2
DP+SB,20271101,2
DP+SB,20271111,2
DP+SB,20271224,2
DP+SB,20271225,2
DP+SB,20271226,2
DP+SB,20280101,2
DP+SB,20280106,2
DP+SB,20280416,2
DP+SB,20280417,2
DP+SB,20280501,2
DP+SB,20280503,2
DP+SB,20280604,2
DP+SB,20280615,2
DP+SB,20280815,2
DP+SB,20281101,2
DP+SB,20281111,2
DP+SB,20281224,2
DP+SB,20281225,2
DP+SB,20281226,2
DP+SB,20290101,2
DP+SB,20290106,2
DP+SB,20290401,2
DP+SB,20290402,2
DP+SB,20290501,2
DP+SB,20290503,2
DP+SB,20290520,2
DP+SB,20290531,2
DP+SB,20290815,2
DP+SB,20291101,2
DP+SB,20291111,2
DP+SB,20291224,2
DP+SB,20291225,2
DP+SB,20291226,2
SB,20250101,2
SB,20250106,2
SB,20250420,2
SB,20250421,2
SB,20250501,2
SB,20250503,2
SB,20250608,2
SB,20250619,2
SB,20250815,2
SB,20251101,2
SB,20251111,2
SB,20251224,2
SB,20251225,2
SB,20251226,2
SB,20260101,2
SB,20260106,2
SB,20260405,2
SB,20260406,2
SB,20260501,2
SB,20260503,2
SB,20260524,2
SB,20260604,2
SB,20260815,2
SB,20261101,2
SB,20261111,2
SB,20261224,2
SB,20261225,2
SB,20261226,2
SB,20270101,2
SB,20270106,2
SB,20270328,2
SB,20270329,2
SB,20270501,2
SB,20270503,2
SB,20270516,2
SB,20270527,2
SB,20270815,2
SB,20271101,2
SB,20271111,2
SB,20271224,2
SB,20271225,2
SB,20271226,2
SB,20280101,2
SB,20280106,2
SB,20280416,2
SB,20280417,2
SB,20280501,2
SB,20280503,2
SB,20280604,2
SB,20280615,2
SB,20280815,2
SB,20281101,2
SB,20281111,2
SB,20281224,2
SB,20281225,2
SB,20281226,2
SB,20290101,2
SB,20290106,2
SB,20290401,2
SB,20290402,2
SB,20290501,2
SB,20290503,2
SB,20290520,2
SB,20290531,2
SB,20290815,2
SB,20291101,2
SB,20291111,2
SB,20291224,2
SB,20291225,2
SB,20291226,2
PP,20250101,2
PP,20250106,2
PP,20250420,2
PP,20250421,2
PP,20250501,2
PP,20250503,2
PP,20250608,2
PP,20250619,2
PP,20250815,2
PP,20251101,2
PP,20251111,2
PP,20251224,2
PP,20251225,2
PP,20251226,2
PP,20260101,2
PP,20260106,2
PP,20260405,2
PP,20260406,2
PP,20260501,2
PP,20260503,2
PP,20260524,2
PP,20260604,2
PP,20260815,2
PP,20261101,2
PP,20261111,2
PP,20261224,2
PP,20261225,2
PP,20261226,2
PP,20270101,2
PP,20270106,2
PP,20270328,2
PP,20270329,2
PP,20270501,2
PP,20270503,2
PP,20270516,2
PP,20270527,2
PP,20270815,2
PP,20271101,2
PP,20271111,2
PP,20271224,2
PP,20271225,2
PP,20271226,2
PP,20280101,2
PP,20280106,2
PP,20280416,2
PP,20280417,2
PP,20280501,2
PP,20280503,2
PP,20280604,2
PP,20280615,2
PP,20280815,2
PP,20281101,2
PP,20281111,2
PP,20281224,2
PP,20281225,2
PP,20281226,2
PP,20290101,2
PP,20290106,2
PP,20290401,2
PP,20290402,2
PP,20290501,2
PP,20290503,2
PP,20290520,2
PP,20290531,2
PP,20290815,2
PP,20291101,2
PP,20291111,2
PP,20291224,2
PP,20291225,2
PP,20291226,2
DP+DS,20250101,1
DP+DS,20250106,1
DP+DS,20250420,1
DP+DS,20250421,1
DP+DS,20250501,1
DP+DS,20250503,1
DP+DS,20250608,1
DP+DS,20250619,1
DP+DS,20250815,1
DP+DS,20251101,1
DP+DS,20251111,1
DP+DS,20251224,1
DP+DS,20251225,1
DP+DS,20251226,1
DP+DS,20260101,1
DP+DS,20260106,1
DP+DS,20260405,1
DP+DS,20260406,1
DP+DS,20260501,1
DP+DS,20260503,1
DP+DS,20260524,1
DP+DS,20260604,1
DP+DS,20260815,1
DP+DS,20261101,1
DP+DS,20261111,1
DP+DS,20261224,1
DP+DS,20261225,1
DP+DS,20261226,1
DP+DS,20270101,1
DP+DS,20270106,1
DP+DS,20270328,1
DP+DS,20270329,1
DP+DS,20270501,1
DP+DS,20270503,1
DP+DS,20270516,1
DP+DS,20270527,1
DP+DS,20270815,1
DP+DS,20271101,1
DP+DS,20271111,1
DP+DS,20271224,1
DP+DS,20271225,1
DP+DS,20271226,1
DP+DS,20280101,1
DP+DS,20280106,1
DP+DS,20280416,1
DP+DS,20280417,1
DP+DS,20280501,1
DP+DS,20280503,1
DP+DS,20280604,1
DP+DS,20280615,1
DP+DS,20280815,1
DP+DS,20281101,1
DP+DS,20281111,1
DP+DS,20281224,1
DP+DS,20281225,1
DP+DS,20281226,1
DP+DS,20290101,1
DP+DS,20290106,1
DP+DS,20290401,1
DP+DS,20290402,1
DP+DS,20290501,1
DP+DS,20290503,1
DP+DS,20290520,1
DP+DS,20290531,1
DP+DS,20290815,1
DP+DS,20291101,1
DP+DS,20291111,1
DP+DS,20291224,1
DP+DS,20291225,1
DP+DS,20291226,1
DP+SB+DS,20250101,1
DP+SB+DS,20250106,1
DP+SB+DS,20250420,1
DP+SB+DS,20250421,1
DP+SB+DS,20250501,1
DP+SB+DS,20250503,1
DP+SB+DS,20250608,1
DP+SB+DS,20250619,1
DP+SB+DS,20250815,1
DP+SB+DS,20251101,1
DP+SB+DS,20251111,1
DP+SB+DS,20251224,1
DP+SB+DS,20251225,1
DP+SB+DS,20251226,1
DP+SB+DS,20260101,1
DP+SB+DS,20260106,1
DP+SB+DS,20260405,1
DP+SB+DS,20260406,1
DP+SB+DS,20260501,1
DP+SB+DS,20260503,1
DP+SB+DS,20260524,1
DP+SB+DS,20260604,1
DP+SB+DS,20260815,1
DP+SB+DS,20261101,1
DP+SB+DS,20261111,1
DP+SB+DS,20261224,1
DP+SB+DS,20261225,1
DP+SB+DS,20261226,1
DP+SB+DS,20270101,1
DP+SB+DS,20270106,1
DP+SB+DS,20270328,1
DP+SB+DS,20270329,1
DP+SB+DS,20270501,1
DP+SB+DS,20270503,1
DP+SB+DS,20270516,1
DP+SB+DS,20270527,1
DP+SB+DS,20270815,1
DP+SB+DS,20271101,1
DP+SB+DS,20271111,1
DP+SB+DS,20271224,1
DP+SB+DS,20271225,1
DP+SB+DS,20271226,1
DP+SB+DS,20280101,1
DP+SB+DS,20280106,1
DP+SB+DS,20280416,1
DP+SB+DS,20280417,1
DP+SB+DS,20280501,1
DP+SB+DS,20280503,1
DP+SB+DS,20280604,1
DP+SB+DS,20280615,1
DP+SB+DS,20280815,1
DP+SB+DS,20281101,1
DP+SB+DS,20281111,1
DP+SB+DS,20281224,1
DP+SB+DS,20281225,1
DP+SB+DS,20281226,1
DP+SB+DS,20290101,1
DP+SB+DS,20290106,1
DP+SB+DS,20290401,1
DP+SB+DS,20290402,1
DP+SB+DS,20290501,1
DP+SB+DS,20290503,1
DP+SB+DS,20290520,1
DP+SB+DS,20290531,1
DP+SB+DS,20290815,1
DP+SB+DS,20291101,1
DP+SB+DS,20291111,1
DP+SB+DS,20291224,1
DP+SB+DS,20291225,1
DP+SB+DS,20291226,1
SB+DS,20250101,1
SB+DS,20250106,1
SB+DS,20250420,1
SB+DS,20250421,1
SB+DS,20250501,1
SB+DS,20250503,1
SB+DS,20250608,1
SB+DS,20250619,1
SB+DS,20250815,1
SB+DS,20251101,1
SB+DS,20251111,1
SB+DS,20251224,1
SB+DS,20251225,1
