trip_id,stop_sequence,stop_id,arrival_time,departure_time
1A-1,0,101-01,07:55:00,07:55:00
1A-1,1,100-02,07:57:00,07:57:00
1A-1,2,102-01,07:58:00,07:58:00
1A-1,3,103-01,07:59:00,07:59:00
1A-1,4,103-02,08:01:00,08:01:00
1A-1,5,104-01,08:03:00,08:03:00
1A-1,6,104-02,08:05:00,08:05:00
1A-1,7,104-03,08:06:00,08:06:00
1A-1,8,104-04,08:07:00,08:07:00
1A-1,9,105-01,08:08:00,08:08:00
1A-1,10,105-02,08:09:00,08:09:00
1A-1,11,106-01,08:10:00,08:10:00
1A-1,12,107-01,08:11:00,08:11:00
1A-1,13,108-01,08:13:00,08:13:00
1A-1,14,109-01,08:14:00,08:14:00
1A-1,15,110-01,08:15:00,08:16:00
1A-2,0,110-02,08:35:00,08:35:00
1A-2,1,109-01,08:36:00,08:36:00
1A-2,2,108-01,08:37:00,08:37:00
1A-2,3,107-01,08:39:00,08:39:00
1A-2,4,106-01,08:40:00,08:40:00
1A-2,5,105-02,08:41:00,08:41:00
1A-2,6,105-01,08:42:00,08:42:00
1A-2,7,104-04,08:43:00,08:43:00
1A-2,8,104-03,08:44:00,08:44:00
1A-2,9,104-02,08:45:00,08:45:00
1A-2,10,104-01,08:47:00,08:47:00
1A-2,11,103-02,08:49:00,08:49:00
1A-2,12,103-01,08:51:00,08:51:00
1A-2,13,102-01,08:52:00,08:52:00
1A-2,14,100-01,08:53:00,08:53:00
1A-2,15,101-02,08:55:00,08:55:00
1B,0,101-01,11:25:00,11:25:00
1B,1,100-02,11:27:00,11:27:00
1B,2,102-01,11:28:00,11:28:00
1B,3,103-01,11:29:00,11:29:00
1B,4,103-02,11:31:00,11:31:00
1B,5,104-01,11:33:00,11:33:00
1B,6,104-02,11:35:00,11:35:00
1B,7,104-03,11:36:00,11:36:00
1B,8,104-04,11:37:00,11:37:00
1B,9,105-01,11:38:00,11:38:00
1B,10,105-02,11:39:00,11:39:00
1B,11,106-01,11:40:00,11:40:00
1B,12,107-01,11:41:00,11:41:00
1B,13,108-01,11:43:00,11:43:00
1B,14,109-01,11:44:00,11:44:00
1B,15,110-01,11:45:00,11:45:00
1B,16,109-01,11:46:00,11:46:00
1B,17,108-01,11:47:00,11:47:00
1B,18,107-01,11:49:00,11:49:00
1B,19,106-01,11:50:00,11:50:00
1B,20,105-02,11:51:00,11:51:00
1B,21,105-01,11:52:00,11:52:00
1B,22,104-04,11:53:00,11:53:00
1B,23,104-03,11:54:00,11:54:00
1B,24,104-02,11:55:00,11:55:00
1B,25,104-01,11:57:00,11:57:00
1B,26,103-02,11:59:00,11:59:00
1B,27,103-01,12:01:00,12:01:00
1B,28,102-01,12:02:00,12:02:00
1B,29,100-01,12:03:00,12:03:00
1B,30,101-02,12:05:00,12:05:00
1C-1,0,101-01,13:00:00,13:00:00
1C-1,1,100-02,13:02:00,13:02:00
1C-1,2,102-01,13:03:00,13:03:00
1C-1,3,103-01,13:04:00,13:04:00
1C-1,4,103-02,13:06:00,13:06:00
1C-1,5,104-01,13:08:00,13:08:00
1C-1,6,104-02,13:10:00,13:10:00
1C-1,7,104-03,13:11:00,13:11:00
1C-1,8,104-04,13:12:00,13:12:00
1C-1,9,105-01,13:13:00,13:13:00
1C-1,10,105-02,13:14:00,13:14:00
1C-1,11,106-01,13:15:00,13:15:00
1C-1,12,107-01,13:16:00,13:16:00
1C-1,13,108-01,13:18:00,13:18:00
1C-1,14,109-01,13:19:00,13:19:00
1C-1,15,110-01,13:20:00,13:21:00
1C-2,0,110-02,13:30:00,13:30:00
1C-2,1,109-01,13:31:00,13:31:00
1C-2,2,108-01,13:32:00,13:32:00
1C-2,3,107-01,13:34:00,13:34:00
1C-2,4,106-01,13:35:00,13:35:00
1C-2,5,105-02,13:36:00,13:36:00
1C-2,6,105-01,13:37:00,13:37:00
1C-2,7,104-04,13:38:00,13:38:00
1C-2,8,104-03,13:39:00,13:39:00
1C-2,9,104-02,13:40:00,13:40:00
1C-2,10,104-01,13:42:00,13:42:00
1C-2,11,103-02,13:44:00,13:44:00
1C-2,12,103-01,13:46:00,13:46:00
1C-2,13,102-01,13:47:00,13:47:00
1C-2,14,100-01,13:48:00,13:48:00
1C-2,15,101-02,13:50:00,13:50:00
1D-1,0,101-01,13:40:00,13:40:00
1D-1,1,100-02,13:42:00,13:42:00
1D-1,2,102-01,13:43:00,13:43:00
1D-1,3,103-01,13:44:00,13:44:00
1D-1,4,103-02,13:46:00,13:46:00
1D-1,5,104-01,13:48:00,13:48:00
1D-1,6,104-02,13:50:00,13:50:00
1D-1,7,104-03,13:51:00,13:51:00
1D-1,8,104-04,13:52:00,13:52:00
1D-1,9,105-01,13:53:00,13:53:00
1D-1,10,105-02,13:54:00,13:54:00
1D-1,11,106-01,13:55:00,13:55:00
1D-1,12,107-01,13:56:00,13:56:00
1D-1,13,108-01,13:58:00,13:58:00
1D-1,14,109-01,13:59:00,13:59:00
1D-1,15,110-01,14:00:00,14:01:00
1D-2,0,110-02,14:05:00,14:05:00
1D-2,1,109-01,14:06:00,14:06:00
1D-2,2,108-01,14:07:00,14:07:00
1D-2,3,107-01,14:09:00,14:09:00
1D-2,4,106-01,14:10:00,14:10:00
1D-2,5,105-02,14:11:00,14:11:00
1D-2,6,105-01,14:12:00,14:12:00
1D-2,7,104-04,14:13:00,14:13:00
1D-2,8,104-03,14:14:00,14:14:00
1D-2,9,104-02,14:15:00,14:15:00
1D-2,10,104-01,14:17:00,14:17:00
1D-2,11,103-02,14:19:00,14:19:00
1D-2,12,103-01,14:21:00,14:21:00
1D-2,13,102-01,14:22:00,14:22:00
1D-2,14,100-01,14:23:00,14:23:00
1D-2,15,101-02,14:25:00,14:25:00
1E,0,101-01,16:25:00,16:25:00
1E,1,100-02,16:27:00,16:27:00
1E,2,102-01,16:28:00,16:28:00
1E,3,103-01,16:29:00,16:29:00
1E,4,103-02,16:31:00,16:31:00
1E,5,104-01,16:33:00,16:33:00
1E,6,104-02,16:35:00,16:35:00
1E,7,104-03,16:36:00,16:36:00
1E,8,104-04,16:37:00,16:37:00
1E,9,105-01,16:38:00,16:38:00
1E,10,105-02,16:39:00,16:39:00
1E,11,106-01,16:40:00,16:40:00
1E,12,107-01,16:41:00,16:41:00
1E,13,108-01,16:43:00,16:43:00
1E,14,109-01,16:44:00,16:44:00
1E,15,110-01,16:45:00,16:45:00
1E,16,109-01,16:46:00,16:46:00
1E,17,108-01,16:47:00,16:47:00
1E,18,107-01,16:48:00,16:48:00
1E,19,106-01,16:50:00,16:50:00
1E,20,105-02,16:51:00,16:51:00
1E,21,105-01,16:52:00,16:52:00
1E,22,104-04,16:53:00,16:53:00
