stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
100-02,02,Czosnów Bella 02,52.3863681,20.7378464,0
100-01,01,Czosnów Bella 01,52.3858278,20.7378464,0
101-01,01,Czosnów 01,52.3901323,20.7331638,0
101-02,02,Czosnów 02,52.390499,20.7323887,0
102-01,01,Kaliszki Akacjowa 01,52.3719137,20.7330904,0
103-01,01,Adamówek Brzozowa I,52.366035,20.7303246,0
103-02,02,Adamówek Brzozowa II,52.36626,20.7203843,0
104-02,02,Trakt Partyzancki II,52.347172,20.7227183,0
104-01,01,Trakt Partyzancki I,52.3571178,20.7313942,0
104-04,04,Trakt Partyzancki IV,52.3406541,20.7018983,0
104-03,03,Trakt Partyzancki III,52.3459183,20.7185477,0
105-01,01,Truskawka Wolności I,52.3386557,20.6939163,0
105-02,02,Truskawka Wolności II,52.3321186,20.6831195,0
106-01,01,Wiersze Armii Krajowej 01,52.3273362,20.6646396,0
107-01,01,Wiersze Armii Krajowej-Kościół 01,52.326938,20.6519367,0
108-01,01,Krogulec-Straż 01,52.3216878,20.6405999,0
109-01,01,Krogulec 01,52.3257057,20.6239481,0
110-01,01,Kiścinne 01,52.3260877,20.6209641,0
110-02,02,Kiścinne 02,52.3260814,20.6207944,0
111-01,01,Aleksandrów 01,52.3393712,20.6361533,0
112-01,01,Brzozówka-Sklep 01,52.348011913596366,20.657669665627477,0
113-01,01,Sowia Wola Szmaragdowa 01,52.3674263,20.6424725,0
114-02,02,Sowia Wola Szkoła 02,52.3604075,20.6405368,0
114-01,01,Sowia Wola Szkoła 01,52.3607466,20.6421488,0
115-01,01,Małocice Wojska Polskiego 01,52.3740837,20.6900612,0
115-02,02,Małocice Wojska Polskiego 02,52.3743981,20.6924269,0
116-02,02,Małocice Szkoła 02,52.3735421,20.6806481,0
116-01,01,Małocice Szkoła 01,52.3732964,20.6794786,0
117-02,02,Wrzosówka 02,52.3722881,20.6645582,0
117-01,01,Wrzosówka 01,52.3723044,20.666366,0
118-01,01,Sowia Wola Szkolna 01,52.3639874,20.6533521,0
118-02,02,Sowia Wola Szkolna 02,52.364215,20.653623,0
119-01,01,Augustówek 01,52.3741743,20.6994039,0
119-02,02,Augustówek 02,52.3743823,20.6977355,0
120-02,02,Łosia Wólka 02,52.3738532,20.7063242,0
120-01,01,Łosia Wólka 01,52.3738041,20.7053948,0
121-01,01,Dębina 01,52.3920995,20.7150733,0
122-01,01,Kazuń Nowy Droga Krajowa 01,52.4213837,20.6874212,0
122-02,02,Kazuń Nowy Droga Krajowa 02,52.4209447,20.6866826,0
123-01,01,Kazuń-Bielany PAN (DW579) 01,52.4031892,20.6830169,0
123-02,02,Kazuń-Bielany PAN (DW579) 02,52.4037941,20.6852224,0
124-01,01,Kazuń Polski Droga Wojewódzka 01,52.3944216,20.6592134,0
