transfer_id,from_stop_id,to_stop_id,transfer_type,min_transfer_time
A-B,124-01,124-02,2,90
B-A,124-02,124-01,2,90
B-C,124-02,131-01,2,50
C-B,131-01,124-02,2,50
A-C,124-01,131-01,2,135
C-A,131-01,124-01,2,135
D-E,129-01,300-01,2,45
E-D,300-01,129-01,2,45
G-H,400-01,135-01,2,200
H-G,135-01,400-01,2,200
K1-K2,144-01,144-02,2,105
K2-K1,144-02,144-01,2,105
K1-W1,144-01,152-01,2,115
W1-K1,152-01,144-01,2,115
K2-W2,144-02,152-02,2,220
W2-K2,152-02,144-02,2,220
W1-W2,152-01,152-02,2,60
W2-W1,152-02,152-01,2,60
K1-W2,144-01,152-02,2,175
W2-K1,152-02,144-01,2,175
K2-W1,144-02,152-01,2,150
W1-K2,152-01,144-02,2,150
