shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
S1A,51.33771,16.81472,0
S1A,51.33776,16.81516,1
S1A,51.33778,16.81527,2
S1A,51.33783,16.8155,3
S1A,51.33787,16.81563,4
S1A,51.33788,16.81567,5
S1A,51.33795,16.81589,6
S1A,51.33798,16.81598,7
S1A,51.338,16.81611,8
S1A,51.33804,16.81632,9
S1A,51.3381,16.81674,10
S1A,51.33812,16.81701,11
S1A,51.33814,16.81729,12
S1A,51.33819,16.81832,13
S1A,51.33819,16.8184,14
S1A,51.3382,16.81862,15
S1A,51.3382,16.81869,16
S1A,51.33821,16.81872,17
S1A,51.33822,16.81898,18
S1A,51.33823,16.81912,19
S1A,51.33825,16.81948,20
S1A,51.3383,16.82002,21
S1A,51.33843,16.82099,22
S1A,51.33844,16.82102,23
S1A,51.3385,16.82137,24
S1A,51.33856,16.82166,25
S1A,51.33866,16.82212,26
S1A,51.33876,16.82257,27
S1A,51.33888,16.82311,28
S1A,51.33897,16.82343,29
S1A,51.33922,16.82439,30
S1A,51.33929,16.82463,31
S1A,51.33942,16.82504,32
S1A,51.33962,16.82564,33
S1A,51.33985,16.8264,34
S1A,51.34014,16.82736,35
S1A,51.34031,16.82792,36
S1A,51.34036,16.82815,37
S1A,51.34046,16.8287,38
S1A,51.3406,16.82949,39
S1A,51.34063,16.82975,40
S1A,51.34066,16.82991,41
S1A,51.34068,16.83014,42
S1A,51.34068,16.83019,43
S1A,51.34071,16.83056,44
S1A,51.34072,16.83068,45
S1A,51.34075,16.8311,46
S1A,51.34076,16.83121,47
S1A,51.34079,16.83152,48
S1A,51.34083,16.83206,49
S1A,51.34083,16.83211,50
S1A,51.34085,16.83232,51
S1A,51.34085,16.83234,52
S1A,51.34087,16.83255,53
S1A,51.34087,16.83273,54
S1A,51.34086,16.83283,55
S1A,51.34086,16.83289,56
S1A,51.34083,16.83308,57
S1A,51.3408,16.83332,58
S1A,51.34079,16.83337,59
S1A,51.34077,16.83354,60
S1A,51.34076,16.83367,61
S1A,51.34076,16.83378,62
S1A,51.34077,16.83387,63
S1A,51.34082,16.83401,64
S1A,51.34086,16.83413,65
S1A,51.34091,16.83427,66
S1A,51.34099,16.83449,67
S1A,51.34116,16.83485,68
S1A,51.3412,16.83493,69
S1A,51.34133,16.83519,70
S1A,51.34161,16.83582,71
S1A,51.34163,16.83586,72
S1A,51.34187,16.83638,73
S1A,51.34204,16.83681,74
S1A,51.3422,16.83726,75
S1A,51.34223,16.83736,76
S1A,51.34227,16.83748,77
S1A,51.34229,16.83753,78
S1A,51.34232,16.83762,79
S1A,51.34255,16.83831,80
S1A,51.34255,16.83832,81
S1A,51.34257,16.83838,82
S1A,51.34262,16.83855,83
S1A,51.34265,16.83864,84
S1A,51.34269,16.8388,85
S1A,51.34271,16.83889,86
S1A,51.34278,16.83914,87
S1A,51.34282,16.83933,88
S1A,51.34286,16.83957,89
S1A,51.34288,16.8397,90
S1A,51.34288,16.83974,91
S1A,51.34288,16.8398,92
S1A,51.34287,16.83995,93
S1A,51.34285,16.84033,94
S1A,51.34282,16.84122,95
S1A,51.3428,16.84185,96
S1A,51.34279,16.84194,97
S1A,51.34276,16.84283,98
S1A,51.34275,16.84285,99
S1A,51.34274,16.84321,100
S1A,51.34272,16.8437,101
S1A,51.3427,16.8439,102
S1A,51.34267,16.84413,103
S1A,51.34264,16.84429,104
S1A,51.34256,16.84481,105
S1A,51.34251,16.84517,106
S1A,51.3425,16.84531,107
S1A,51.3425,16.84567,108
S1A,51.34248,16.84581,109
S1A,51.34246,16.846,110
S1A,51.34239,16.84642,111
S1A,51.34249,16.84646,112
S1A,51.3426,16.84652,113
S1A,51.34274,16.84662,114
S1A,51.34287,16.8467,115
S1A,51.34308,16.84683,116
S1A,51.34328,16.84696,117
S1A,51.34348,16.84705,118
S1A,51.34359,16.8471,119
S1A,51.34374,16.84715,120
S1A,51.34385,16.84719,121
S1A,51.34397,16.84725,122
S1A,51.34417,16.84734,123
S1A,51.34437,16.84741,124
S1A,51.3444,16.84742,125
S1A,51.34449,16.84744,126
S1A,51.34469,16.84745,127
S1A,51.34487,16.84747,128
S1A,51.34495,16.84748,129
S1A,51.34499,16.84749,130
S1A,51.34515,16.84752,131
S1A,51.34534,16.84757,132
S1A,51.34557,16.84762,133
S1A,51.34578,16.84767,134
S1A,51.34603,16.84772,135
S1A,51.34643,16.84782,136
S1A,51.34654,16.84784,137
S1A,51.34671,16.84785,138
S1A,51.34689,16.84786,139
S1A,51.34698,16.84791,140
S1A,51.34705,16.84795,141
S1A,51.34711,16.84801,142
S1A,51.34716,16.84806,143
S1A,51.34716,16.84807,144
S1A,51.34722,16.84815,145
S1A,51.34727,16.84825,146
S1A,51.3473,16.84835,147
S1A,51.34732,16.84845,148
S1A,51.34733,16.84853,149
S1A,51.34733,16.84864,150
S1A,51.34732,16.84886,151
S1A,51.3473,16.84937,152
S1A,51.3473,16.84949,153
S1A,51.34729,16.84967,154
S1A,51.34729,16.84979,155
S1A,51.3473,16.84985,156
S1A,51.3473,16.8499,157
S1A,51.34732,16.85006,158
S1A,51.34736,16.85022,159
S1A,51.34743,16.85046,160
S1A,51.34753,16.85076,161
S1A,51.34764,16.85111,162
S1A,51.34771,16.85137,163
S1A,51.3478,16.85177,164
S1A,51.34781,16.8518,165
S1A,51.34783,16.8519,166
S1A,51.34783,16.85191,167
S1A,51.34783,16.85193,168
S1A,51.34786,16.85204,169
S1A,51.34791,16.85232,170
S1A,51.34792,16.85234,171
S1A,51.34797,16.85259,172
S1A,51.34803,16.85288,173
S1A,51.3481,16.8532,174
S1A,51.34822,16.85366,175
S1A,51.3483,16.85394,176
S1A,51.34834,16.85408,177
S1A,51.34844,16.85437,178
