trip_id,stop_sequence,stop_id,arrival_time,departure_time
L1_1,0,100-01,05:50:00,05:50:00
L1_1,1,101-01,05:51:00,05:51:00
L1_1,2,102-01,05:52:00,05:52:00
L1_1,3,103-01,05:54:00,05:54:00
L1_1,4,104-01,05:55:00,05:55:00
L1_1,5,149-01,05:57:00,05:57:00
L1_1,6,105-01,06:00:00,06:00:00
L1_1,7,148-01,06:01:00,06:01:00
L1_1,8,150-01,06:03:00,06:03:00
L1_1,9,107-01,06:04:40,06:04:40
L1_2,0,107-01,06:05:00,06:05:00
L1_2,1,103-01,06:09:00,06:09:00
L1_2,2,100-01,06:13:00,06:13:00
L1_2,3,101-01,06:14:00,06:14:00
L1_2,4,102-01,06:15:00,06:15:00
L1_2,5,103-01,06:17:00,06:17:00
L1_2,6,108-01,06:20:00,06:20:00
L1_2,7,112-01,06:25:00,06:25:00
L1_2,8,113-01,06:26:00,06:26:00
L1_2,9,114-01,06:27:00,06:27:00
L1_2,10,147-02,06:29:00,06:29:00
L1_2,11,115-01,06:31:00,06:31:00
L1_2,12,146-01,06:37:00,06:37:00
L1_2,13,110-01,06:39:40,06:39:40
L1_3,0,110-02,06:40:00,06:40:00
L1_3,1,108-02,06:48:00,06:48:00
L1_3,2,103-01,06:51:00,06:51:00
L1_3,3,100-01,06:55:00,06:55:00
L1_3,4,101-01,06:56:00,06:56:00
L1_3,5,102-01,06:57:00,06:57:00
L1_3,6,103-01,06:59:00,06:59:00
L1_3,7,104-01,07:00:00,07:00:00
L1_3,8,149-01,07:02:00,07:02:00
L1_3,9,105-01,07:05:00,07:05:00
L1_3,10,148-01,07:06:00,07:06:00
L1_3,11,106-01,07:08:00,07:08:00
L1_3,12,107-01,07:09:40,07:09:40
L1_4,0,107-01,07:10:00,07:10:00
L1_4,1,103-01,07:13:00,07:13:00
L1_4,2,100-01,07:16:00,07:16:00
L1_4,3,101-01,07:17:00,07:17:00
L1_4,4,102-01,07:18:00,07:18:00
L1_4,5,103-01,07:20:00,07:20:00
L1_4,6,108-01,07:23:00,07:23:00
L1_4,7,112-01,07:28:00,07:28:00
L1_4,8,113-01,07:29:00,07:29:00
L1_4,9,114-01,07:30:00,07:30:00
L1_4,10,147-02,07:32:00,07:32:00
L1_4,11,115-01,07:34:00,07:34:00
L1_4,12,146-01,07:40:00,07:40:00
L1_4,13,110-01,07:42:00,07:42:00
L1_4,14,126-02,07:44:00,07:44:00
L1_4,15,111-01,07:48:00,07:48:00
L1_4,16,126-01,07:52:00,07:52:00
L1_4,17,110-02,07:55:00,07:55:00
L1_5,0,110-02,09:20:00,09:20:00
L1_5,1,146-01,09:22:00,09:22:00
L1_5,2,115-01,09:27:00,09:27:00
L1_5,3,147-01,09:29:00,09:29:00
L1_5,4,114-02,09:31:00,09:31:00
L1_5,5,113-02,09:32:00,09:32:00
L1_5,6,112-01,09:33:00,09:33:00
L1_5,7,108-02,09:37:00,09:37:00
L1_5,8,109-02,09:38:00,09:38:00
L1_5,9,107-01,09:40:00,09:40:00
L1_5,10,148-01,09:42:00,09:42:00
L1_5,11,105-01,09:43:00,09:43:00
L1_5,12,104-02,09:44:00,09:44:00
L1_5,13,103-01,09:45:00,09:45:00
L1_5,14,102-01,09:47:00,09:47:00
L1_5,15,101-01,09:48:00,09:48:00
L1_5,16,100-01,09:49:00,09:49:00
L1_5,17,101-01,09:50:00,09:50:00
L1_5,18,102-01,09:51:00,09:51:00
L1_5,19,103-01,09:53:00,09:53:00
L1_5,20,104-01,09:54:00,09:54:00
L1_5,21,105-01,09:55:00,09:55:00
L1_5,22,148-01,09:56:00,09:56:00
