trip_id,stop_sequence,stop_id,arrival_time,departure_time
T1_1,0,100-01,06:37:00,06:37:00
T1_1,1,103-02,06:39:00,06:39:00
T1_1,2,104-02,06:40:00,06:40:00
T1_1,3,105-01,06:41:00,06:41:00
T1_1,4,104-01,06:42:00,06:42:00
T1_1,5,103-01,06:43:00,06:43:00
T1_1,6,100-01,06:45:00,06:45:00
T1_1,7,101-01,06:46:00,06:46:00
T1_1,8,106-01,06:47:00,06:47:00
T1_1,9,107-01,06:49:00,06:49:00
T1_1,10,108-01,06:50:00,06:50:00
T1_1,11,107-02,06:52:00,06:52:00
T1_1,12,106-02,06:53:00,06:53:00
T1_1,13,101-02,06:54:00,06:54:00
T1_1,14,100-01,06:58:00,06:58:00
T1_2,0,100-01,06:59:00,07:06:00
T1_2,1,101-01,07:10:00,07:10:00
T1_2,2,102-01,07:13:00,07:13:00
T1_2,3,101-02,07:17:00,07:17:00
T1_2,4,103-02,07:22:00,07:22:00
T1_2,5,104-02,07:23:00,07:23:00
T1_2,6,105-01,07:24:00,07:24:00
T1_2,7,104-01,07:25:00,07:25:00
T1_2,8,103-01,07:26:00,07:26:00
T1_2,9,100-01,07:31:00,07:31:00
T1_2,10,101-01,07:35:00,07:35:00
T1_2,11,106-01,07:36:00,07:36:00
T1_2,12,107-01,07:38:00,07:38:00
T1_2,13,108-01,07:39:00,07:39:00
T1_2,14,107-02,07:41:00,07:41:00
T1_2,15,110-01,07:45:00,07:45:00
T1_2,16,109-01,07:46:00,07:46:00
T1_2,17,111-01,07:47:00,07:47:00
T1_2,18,106-02,07:49:00,07:49:00
T1_2,19,101-02,07:50:00,07:50:00
T1_2,20,100-01,07:54:00,07:54:00
T1_3,0,100-01,07:55:00,07:57:00
T1_3,1,101-01,08:01:00,08:01:00
T1_3,2,102-01,08:04:00,08:04:00
T1_3,3,101-02,08:08:00,08:08:00
T1_3,4,103-02,08:13:00,08:13:00
T1_3,5,104-02,08:14:00,08:14:00
T1_3,6,105-01,08:15:00,08:15:00
T1_3,7,104-01,08:16:00,08:16:00
T1_3,8,103-01,08:17:00,08:17:00
T1_3,9,100-01,08:22:00,08:22:00
T1_3,10,101-01,08:26:00,08:26:00
T1_3,11,106-01,08:27:00,08:27:00
T1_3,12,107-01,08:29:00,08:29:00
T1_3,13,108-01,08:30:00,08:30:00
T1_3,14,107-02,08:32:00,08:32:00
T1_3,15,110-01,08:36:00,08:36:00
T1_3,16,109-01,08:37:00,08:37:00
T1_3,17,111-01,08:38:00,08:38:00
T1_3,18,106-02,08:40:00,08:40:00
T1_3,19,101-02,08:41:00,08:41:00
T1_3,20,100-01,08:45:00,08:45:00
T1_4,0,100-01,11:10:00,11:10:00
T1_4,1,103-02,11:12:00,11:12:00
T1_4,2,104-02,11:13:00,11:13:00
T1_4,3,105-01,11:14:00,11:14:00
T1_4,4,104-01,11:15:00,11:15:00
T1_4,5,103-01,11:16:00,11:16:00
T1_4,6,100-01,11:18:00,11:18:00
T1_4,7,101-01,11:19:00,11:19:00
T1_4,8,106-01,11:20:00,11:20:00
T1_4,9,107-01,11:22:00,11:22:00
T1_4,10,108-01,11:23:00,11:23:00
T1_4,11,107-02,11:25:00,11:25:00
T1_4,12,110-01,11:29:00,11:29:00
T1_4,13,109-01,11:30:00,11:30:00
T1_4,14,111-01,11:31:00,11:31:00
T1_4,15,106-02,11:33:00,11:33:00
T1_4,16,101-02,11:34:00,11:34:00
T1_4,17,100-01,11:38:00,11:38:00
T1_4,18,101-01,11:42:00,11:42:00
T1_5,0,101-02,12:45:00,12:45:00
T1_5,1,103-02,12:46:00,12:46:00
T1_5,2,104-02,12:47:00,12:47:00
T1_5,3,105-01,12:48:00,12:48:00
T1_5,4,104-01,12:49:00,12:49:00
T1_5,5,103-01,12:50:00,12:50:00
T1_5,6,100-01,12:52:00,12:52:00
T1_5,7,101-01,12:53:00,12:53:00
T1_5,8,106-01,12:54:00,12:54:00
T1_5,9,107-01,12:56:00,12:56:00
T1_5,10,108-01,12:57:00,12:57:00
T1_5,11,107-02,12:59:00,12:59:00
T1_5,12,106-02,13:00:00,13:00:00
T1_5,13,101-02,13:01:00,13:01:00
T1_5,14,100-01,13:05:00,13:05:00
T1_5,15,101-01,13:09:00,13:09:00
T1_6,0,101-02,13:37:00,13:37:00
T1_6,1,103-02,13:38:00,13:38:00
T1_6,2,104-02,13:39:00,13:39:00
T1_6,3,105-01,13:40:00,13:40:00
T1_6,4,104-01,13:41:00,13:41:00
T1_6,5,103-01,13:42:00,13:42:00
T1_6,6,100-01,13:44:00,13:44:00
T1_6,7,101-01,13:45:00,13:45:00
T1_6,8,106-01,13:46:00,13:46:00
T1_6,9,107-01,13:48:00,13:48:00
T1_6,10,108-01,13:49:00,13:49:00
T1_6,11,107-02,13:51:00,13:51:00
T1_6,12,110-01,13:55:00,13:55:00
T1_6,13,109-01,13:56:00,13:56:00
T1_6,14,111-01,13:57:00,13:57:00
T1_6,15,106-02,13:59:00,13:59:00
T1_6,16,101-02,14:00:00,14:00:00
T1_6,17,100-01,14:04:00,14:04:00
T1_6,18,101-01,14:08:00,14:08:00
T1_7,0,101-02,14:45:00,14:45:00
T1_7,1,103-02,14:46:00,14:46:00
T1_7,2,104-02,14:47:00,14:47:00
T1_7,3,105-01,14:48:00,14:48:00
T1_7,4,104-01,14:49:00,14:49:00
T1_7,5,103-01,14:50:00,14:50:00
T1_7,6,100-01,14:52:00,14:52:00
T1_7,7,101-01,14:53:00,14:53:00
T1_7,8,106-01,14:54:00,14:54:00
T1_7,9,107-01,14:56:00,14:56:00
T1_7,10,108-01,14:57:00,14:57:00
T1_7,11,107-02,14:59:00,14:59:00
T1_7,12,110-01,15:03:00,15:03:00
T1_7,13,109-01,15:04:00,15:04:00
T1_7,14,111-01,15:05:00,15:05:00
T1_7,15,112-01,15:07:00,15:07:00
T1_7,16,113-01,15:09:00,15:09:00
T1_7,17,114-01,15:11:00,15:11:00
T1_7,18,100-01,15:15:00,15:15:00
T1_7,19,101-01,15:19:00,15:19:00
T1_8,0,101-02,15:35:00,15:35:00
T1_8,1,103-02,15:36:00,15:36:00
T1_8,2,104-02,15:37:00,15:37:00
T1_8,3,105-01,15:38:00,15:38:00
T1_8,4,104-01,15:39:00,15:39:00
T1_8,5,103-01,15:40:00,15:40:00
T1_8,6,100-01,15:42:00,15:42:00
T1_8,7,101-01,15:43:00,15:43:00
T1_8,8,106-01,15:44:00,15:44:00
T1_8,9,107-01,15:46:00,15:46:00
T1_8,10,108-01,15:47:00,15:47:00
T1_8,11,107-02,15:49:00,15:49:00
T1_8,12,110-01,15:53:00,15:53:00
T1_8,13,109-01,15:54:00,15:54:00
T1_8,14,111-01,15:55:00,15:55:00
T1_8,15,112-01,15:57:00,15:57:00
T1_8,16,113-01,15:59:00,15:59:00
T1_8,17,114-01,16:01:00,16:01:00
T1_8,18,100-01,16:05:00,16:05:00
T1_9,0,100-01,16:22:00,16:22:00
T1_9,1,101-01,16:23:00,16:23:00
T1_9,2,106-01,16:24:00,16:24:00
T1_9,3,107-01,16:26:00,16:26:00
T1_9,4,108-01,16:27:00,16:27:00
T1_9,5,107-02,16:29:00,16:29:00
T1_9,6,106-02,16:30:00,16:30:00
T1_9,7,101-02,16:31:00,16:31:00
T1_9,8,100-01,16:35:00,16:35:00
T2_1,0,100-01,06:41:00,06:41:00
T2_1,1,117-01,06:43:00,06:43:00
T2_1,2,118-01,06:44:00,06:44:00
T2_1,3,120-01,06:45:00,06:45:00
T2_1,4,121-01,06:47:00,06:47:00
T2_1,5,119-01,06:49:00,06:49:00
T2_1,6,117-02,06:50:00,06:50:00
T2_1,7,100-01,06:54:00,06:54:00
T2_1,8,101-01,06:58:00,06:58:00
T2_2,0,101-01,07:08:00,07:08:00
T2_2,1,106-01,07:09:00,07:09:00
T2_2,2,112-01,07:10:00,07:10:00
T2_2,3,113-01,07:12:00,07:12:00
T2_2,4,116-01,07:14:00,07:14:00
T2_2,5,115-01,07:15:00,07:15:00
T2_2,6,114-01,07:16:00,07:16:00
T2_2,7,100-01,07:20:00,07:20:00
T2_2,8,101-01,07:24:00,07:24:00
T2_2,9,101-02,07:25:00,07:25:00
T2_2,10,100-01,07:29:00,07:29:00
T2_2,11,117-01,07:33:00,07:33:00
T2_2,12,118-01,07:34:00,07:34:00
T2_2,13,120-01,07:35:00,07:35:00
T2_2,14,121-01,07:37:00,07:37:00
T2_2,15,119-01,07:39:00,07:39:00
T2_2,16,117-02,07:40:00,07:40:00
T2_2,17,100-01,07:44:00,07:44:00
T2_2,18,101-01,07:48:00,07:48:00
T2_3,0,101-01,08:03:00,08:03:00
T2_3,1,106-01,08:04:00,08:04:00
T2_3,2,112-01,08:05:00,08:05:00
T2_3,3,113-01,08:07:00,08:07:00
T2_3,4,116-01,08:09:00,08:09:00
T2_3,5,115-01,08:10:00,08:10:00
T2_3,6,114-01,08:11:00,08:11:00
T2_3,7,100-01,08:15:00,08:15:00
T2_3,8,101-01,08:19:00,08:19:00
T2_3,9,101-02,08:20:00,08:20:00
T2_3,10,100-01,08:24:00,08:24:00
T2_3,11,117-01,08:28:00,08:28:00
T2_3,12,118-01,08:29:00,08:29:00
T2_3,13,120-01,08:30:00,08:30:00
T2_3,14,121-01,08:32:00,08:32:00
T2_3,15,119-01,08:34:00,08:34:00
T2_3,16,117-02,08:35:00,08:35:00
T2_3,17,100-01,08:39:00,08:39:00
T2_3,18,101-01,08:43:00,08:43:00
T2_4,0,101-02,11:20:00,11:20:00
T2_4,1,100-01,11:21:00,11:21:00
T2_4,2,117-01,11:23:00,11:23:00
T2_4,3,118-01,11:24:00,11:24:00
T2_4,4,120-01,11:25:00,11:25:00
T2_4,5,121-01,11:27:00,11:27:00
T2_4,6,119-01,11:29:00,11:29:00
T2_4,7,117-02,11:30:00,11:30:00
T2_4,8,100-01,11:34:00,11:34:00
