trip_id,stop_sequence,stop_id,arrival_time,departure_time
K1A_1,0,100-01,06:55:00,06:55:00
K1A_1,1,101-01,06:57:00,06:57:00
K1A_1,2,102-01,06:58:00,06:58:00
K1A_1,3,103-01,06:59:00,06:59:00
K1A_1,4,104-01,07:00:00,07:00:00
K1A_1,5,105-01,07:01:00,07:01:00
K1A_1,6,106-01,07:03:00,07:03:00
K1A_1,7,107-01,07:05:00,07:05:00
K1A_1,8,108-01,07:07:00,07:07:00
K1A_1,9,109-01,07:08:00,07:08:00
K1A_1,10,110-01,07:09:00,07:09:00
K1A_2,0,100-01,07:30:00,07:30:00
K1A_2,1,101-01,07:32:00,07:32:00
K1A_2,2,102-01,07:33:00,07:33:00
K1A_2,3,103-01,07:34:00,07:34:00
K1A_2,4,104-01,07:35:00,07:35:00
K1A_2,5,105-01,07:36:00,07:36:00
K1A_2,6,106-01,07:38:00,07:38:00
K1A_2,7,107-01,07:40:00,07:40:00
K1A_2,8,108-01,07:42:00,07:42:00
K1A_2,9,109-01,07:43:00,07:43:00
K1A_2,10,110-01,07:44:00,07:44:00
K1A_3,0,100-01,10:20:00,10:20:00
K1A_3,1,101-01,10:22:00,10:22:00
K1A_3,2,102-01,10:23:00,10:23:00
K1A_3,3,103-01,10:24:00,10:24:00
K1A_3,4,104-01,10:25:00,10:25:00
K1A_3,5,105-01,10:26:00,10:26:00
K1A_3,6,106-01,10:28:00,10:28:00
K1A_3,7,107-01,10:30:00,10:30:00
K1A_3,8,108-01,10:32:00,10:32:00
K1A_3,9,109-01,10:33:00,10:33:00
K1A_3,10,110-01,10:34:00,10:34:00
K1A_4,0,100-01,14:00:00,14:00:00
K1A_4,1,101-01,14:02:00,14:02:00
K1A_4,2,102-01,14:03:00,14:03:00
K1A_4,3,103-01,14:04:00,14:04:00
K1A_4,4,104-01,14:05:00,14:05:00
K1A_4,5,105-01,14:06:00,14:06:00
K1A_4,6,106-01,14:08:00,14:08:00
K1A_4,7,107-01,14:10:00,14:10:00
K1A_4,8,108-01,14:12:00,14:12:00
K1A_4,9,109-01,14:13:00,14:13:00
K1A_4,10,110-01,14:14:00,14:14:00
K1A_5,0,100-01,18:15:00,18:15:00
K1A_5,1,101-01,18:17:00,18:17:00
K1A_5,2,102-01,18:18:00,18:18:00
K1A_5,3,103-01,18:19:00,18:19:00
K1A_5,4,104-01,18:20:00,18:20:00
K1A_5,5,105-01,18:21:00,18:21:00
K1A_5,6,106-01,18:23:00,18:23:00
K1A_5,7,107-01,18:25:00,18:25:00
K1A_5,8,108-01,18:27:00,18:27:00
K1A_5,9,109-01,18:28:00,18:28:00
K1A_5,10,110-01,18:29:00,18:29:00
K1B_1,0,110-02,06:40:00,06:40:00
K1B_1,1,109-02,06:41:00,06:41:00
K1B_1,2,108-02,06:42:00,06:42:00
K1B_1,3,107-02,06:44:00,06:44:00
K1B_1,4,106-02,06:46:00,06:46:00
K1B_1,5,105-02,06:48:00,06:48:00
K1B_1,6,103-02,06:50:00,06:50:00
K1B_1,7,102-02,06:51:00,06:51:00
K1B_1,8,101-02,06:52:00,06:52:00
K1B_1,9,111-01,06:53:00,06:53:00
K1B_1,10,100-02,06:54:00,06:54:00
K1B_2,0,110-02,10:00:00,10:00:00
K1B_2,1,109-02,10:01:00,10:01:00
K1B_2,2,108-02,10:02:00,10:02:00
K1B_2,3,107-02,10:04:00,10:04:00
K1B_2,4,106-02,10:06:00,10:06:00
K1B_2,5,105-02,10:08:00,10:08:00
K1B_2,6,103-02,10:10:00,10:10:00
K1B_2,7,102-02,10:11:00,10:11:00
K1B_2,8,101-02,10:12:00,10:12:00
K1B_2,9,111-01,10:13:00,10:13:00
K1B_2,10,100-02,10:14:00,10:14:00
K1B_3,0,110-02,11:00:00,11:00:00
