stop_id,stop_name,stop_lat,stop_lon
100-01,Małe Ciche-Kościół,49.3022625,20.0718065
100-02,Małe Ciche-Kościół,49.3023834,20.071566
101-01,Małe Ciche-Szkoła,49.3086405,20.0665339
101-02,Małe Ciche-Szkoła,49.3088454,20.066306
102-01,Małe Ciche Lichajówki,49.3116143,20.0650407
102-02,Małe Ciche Lichajówki,49.3113669,20.0649629
103-01,Małe Ciche Chycakówka,49.325751,20.0513365
103-02,Małe Ciche Chycakówka,49.3258524,20.0511219
104-01,Poronin Kośne Hamry II,49.3308386,20.0424547
105-01,Poronin Kośne Hamry,49.3322499,20.0394928
105-02,Poronin Kośne Hamry,49.3322665,20.0409894
106-01,Poronin Kośle,49.3314125,20.0256195
106-02,Poronin Kośle,49.3311259,20.0272262
107-01,Poronin Jesionkówka,49.3316885,20.0158302
107-02,Poronin Jesionkówka,49.3315452,20.0176836
108-01,Poronin-Dom Kultury,49.3369898,20.0061751
108-02,Poronin-Dom Kultury,49.3362706,20.0063642
109-01,Poronin-Kościół,49.3382027,20.005813
109-02,Poronin-Kościół,49.3380148,20.0056025
110-01,Poronin PKP,49.3440373,20.0047392
110-02,Poronin PKP,49.3438385,20.0046178
111-01,Małe Ciche-Remiza,49.3052935,20.068545
112-01,Majerczykówka-Skrzyżowanie,49.3290431,20.0340689
112-02,Majerczykówka-Skrzyżowanie,49.3291951,20.0340951
113-01,Majerczykówka Dolna,49.3246605,20.0290407
113-02,Majerczykówka Dolna,49.3242498,20.0290604
114-01,Majerczykówka-Sklep,49.3207318,20.0299991
114-02,Majerczykówka-Sklep,49.3206138,20.0302137
115-01,Majerczykówka Budzów Wierch II,49.3137521,20.0332795
115-02,Majerczykówka Budzów Wierch II,49.3137198,20.0334753
116-01,Majerczykówka Budzów Wierch I,49.3050963,20.0350883
116-02,Majerczykówka Budzów Wierch I,49.3053017,20.0349354
117-01,Murzasichle Capówka,49.3026924,20.0404123
117-02,Murzasichle Capówka,49.3027869,20.0403292
118-01,Murzasichle-Biblioteka,49.3073036,20.0428415
118-02,Murzasichle-Biblioteka,49.3071234,20.0426832
119-01,Murzasichle-Remiza,49.3125922,20.0434061
119-02,Murzasichle-Remiza,49.3117896,20.0434007
120-01,Murzasichle-Szkoła,49.3163517,20.0432216
120-02,Murzasichle-Szkoła,49.3158018,20.0432175
121-01,Murzasichle Dolne,49.3224006,20.0443158
121-02,Murzasichle Dolne,49.3221698,20.0440865
122-01,Suche Dolne,49.3399898,20.0005177
122-02,Suche Dolne,49.3398845,20.0001603
123-01,Suche "Dom Orłów",49.3392849,19.9943067
123-02,Suche "Dom Orłów",49.339215,19.995248
124-01,Suche Przy Koziokach,49.3386618,19.9903007
124-02,Suche Przy Koziokach,49.3386942,19.9906829
125-01,Suche Chramce,49.3373817,19.9846929
125-02,Suche Chramce,49.3373005,19.9846245
126-01,Suche Przy Bałkach,49.3366477,19.9726424
126-02,Suche Przy Bałkach,49.3365271,19.9729374
127-01,Suche Lachy,49.3378028,19.9648869
127-02,Suche Lachy,49.3377775,19.9645248
128-01,Ząb Potoczki,49.3382571,19.9581557
128-02,Ząb Potoczki,49.3380814,19.9587069
129-01,Ząb-Skrzyżowanie,49.3378826,19.9470062
129-02,Ząb-Skrzyżowanie,49.3378599,19.9481274
129-03,Ząb-Skrzyżowanie,49.3375812,19.9475065
129-04,Ząb-Skrzyżowanie,49.3383397,19.9482347
130-01,Nowe Bystre Górne,49.3357966,19.9240209
130-02,Nowe Bystre Górne,49.3355484,19.9238922
131-01,Nowe Bystre-Remiza,49.340388,19.9221971
131-02,Nowe Bystre-Remiza,49.3401301,19.9221958
132-01,Nowe Bystre Dolne,49.3448865,19.9168637
132-02,Nowe Bystre Dolne,49.3450547,19.9165361
133-01,Nowe Bystre Słodyczki,49.3103822,19.9052237
133-02,Nowe Bystre Słodyczki,49.3103158,19.9050413
134-01,Bustryk Dolny,49.3599959,19.97658
135-01,Bustryk-Remiza,49.3557675,19.9662251
135-02,Bustryk-Remiza,49.3559291,19.9665376
136-01,Bustryk k/ Zalińskich,49.3542505,19.9630875
136-02,Bustryk k/ Zalińskich,49.3541317,19.9630352
137-01,Bustryk k/ Graców,49.3518402,19.9583444
137-02,Bustryk k/ Graców,49.3518454,19.9586944
138-01,Bustryk k/ Harnasia,49.3496878,19.9505779
138-02,Bustryk k/ Harnasia,49.3495681,19.9508756
139-01,Ząb Majerz,49.3473507,19.9498848
139-02,Ząb Majerz,49.3474572,19.9500055
140-01,Ząb-Kościół,49.3423636,19.9512678
140-02,Ząb-Kościół,49.3426659,19.9513093
141-01,Ząb-Remiza,49.3346407,19.9492701
141-02,Ząb-Remiza,49.3346883,19.9493734
142-01,Ząb-Delikatesy,49.3283682,19.9504566
142-02,Ząb-Delikatesy,49.3283035,19.9506349
143-01,Ząb Furmanowa,49.3234239,19.9527883
143-02,Ząb Furmanowa,49.3233899,19.9530063
144-01,Poronin Kośne Hamry I,49.33036,20.04194
144-02,Poronin Kośne Hamry I,49.32965,20.04214
