trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign
2736,1,130-01,05:05:00,05:05:00,
2736,2,131-01,05:06:00,05:06:00,
2736,3,125-03,05:08:00,05:08:00,Rzakta
2736,4,124-01,05:09:00,05:09:00,Rzakta
2736,5,123-01,05:10:00,05:10:00,Rzakta
2736,6,122-01,05:11:00,05:11:00,Rzakta
2736,7,121-01,05:12:00,05:12:00,Rzakta
2736,8,120-01,05:13:00,05:13:00,Rzakta
2736,9,119-01,05:14:00,05:14:00,Rzakta
2736,10,118-01,05:15:00,05:15:00,Rzakta
2736,11,150-01,05:16:00,05:16:00,Rzakta
2736,12,151-01,05:18:00,05:18:00,Rzakta
2736,13,116-01,05:19:00,05:19:00,Rzakta
2736,14,115-01,05:20:00,05:20:00,Rzakta
2736,15,114-01,05:21:00,05:21:00,Rzakta
2736,16,113-01,05:22:00,05:22:00,Rzakta
2736,17,112-02,05:23:00,05:23:00,Rzakta
2736,18,111-02,05:25:00,05:25:00,Rzakta
2736,19,110-02,05:28:00,05:28:00,Rzakta
2736,20,109-02,05:29:00,05:29:00,Rzakta
2736,21,108-01,05:32:00,05:32:00,Rzakta
2736,22,107-02,05:34:00,05:34:00,Rzakta
2736,23,106-02,05:36:00,05:36:00,Rzakta
2736,24,105-02,05:37:00,05:37:00,Rzakta
2736,25,104-02,05:38:00,05:38:00,Rzakta
2736,26,103-02,05:40:00,05:40:00,Rzakta
2736,27,101-02,05:42:00,05:42:00,Rzakta
2736,28,100-01,05:44:00,05:44:00,Rzakta
2783,1,130-01,05:20:00,05:20:00,
2783,2,131-01,05:21:00,05:21:00,
2783,3,125-03,05:23:00,05:23:00,Rzakta
2783,4,124-01,05:24:00,05:24:00,Rzakta
2783,5,123-01,05:25:00,05:25:00,Rzakta
2783,6,122-01,05:26:00,05:26:00,Rzakta
2783,7,121-01,05:27:00,05:27:00,Rzakta
2783,8,120-01,05:28:00,05:28:00,Rzakta
2783,9,119-01,05:29:00,05:29:00,Rzakta
2783,10,118-01,05:30:00,05:30:00,Rzakta
2783,11,150-01,05:31:00,05:31:00,Rzakta
2783,12,151-01,05:33:00,05:33:00,Rzakta
2783,13,116-01,05:34:00,05:34:00,Rzakta
2783,14,115-01,05:35:00,05:35:00,Rzakta
2783,15,114-01,05:36:00,05:36:00,Rzakta
2783,16,113-01,05:37:00,05:37:00,Rzakta
2783,17,112-02,05:38:00,05:38:00,Rzakta
2783,18,111-02,05:40:00,05:40:00,Rzakta
2783,19,110-02,05:43:00,05:43:00,Rzakta
2783,20,109-02,05:44:00,05:44:00,Rzakta
2783,21,108-01,05:47:00,05:47:00,Rzakta
2783,22,107-02,05:49:00,05:49:00,Rzakta
2783,23,106-02,05:51:00,05:51:00,Rzakta
2783,24,105-02,05:52:00,05:52:00,Rzakta
2783,25,104-02,05:53:00,05:53:00,Rzakta
