stop_id,stop_name,stop_lat,stop_lon,location_type,stop_code
100-01,Rzakta,52.1329263,21.4638581,0,01
101-01,Rzakta Popławska,52.1343707,21.4508489,0,01
101-02,Rzakta Popławska,52.1340291,21.4528914,0,02
102-01,Rzakta Przemysłowa,52.1350580,21.4451391,0,01
102-02,Rzakta Przemysłowa,52.1351124,21.4438463,0,02
103-01,Czarnówka,52.1341680,21.4311257,0,01
103-02,Czarnówka,52.1342273,21.4324937,0,02
104-01,Glinianka Szkolna,52.1297850,21.4231804,0,01
104-02,Glinianka Szkolna,52.1296434,21.4223087,0,02
105-01,Glinianka,52.1309623,21.4175249,0,01
105-02,Glinianka,52.1312288,21.4163900,0,02
106-01,Glinianka-Ośrodek Zdrowia,52.1345291,21.4117349,0,01
106-02,Glinianka-Ośrodek Zdrowia,52.1340898,21.4122282,0,02
107-01,Lipowo Młodzieżowa,52.1328505,21.4030135,0,01
107-02,Lipowo Młodzieżowa,52.1322831,21.4020322,0,02
108-01,Wola Karczewska,52.1270923,21.3883485,0,01
109-01,Wola Ducka Zdrojowa,52.1151277,21.3862687,0,01
109-02,Wola Ducka Zdrojowa,52.1161897,21.3859698,0,02
110-01,Wola Ducka Słoneczna,52.1099716,21.3839210,0,01
110-02,Wola Ducka Słoneczna,52.1102665,21.3846801,0,02
110-03,Wola Ducka Słoneczna,52.1091952,21.3849155,0,03
111-01,Wola Ducka Teofilów,52.1193338,21.3665133,0,01
111-02,Wola Ducka Teofilów,52.1188685,21.3671543,0,02
112-01,Wola Ducka Narutowicza-Betoniarnia,52.1170700,21.3591496,0,01
112-02,Wola Ducka Narutowicza-Betoniarnia,52.1172919,21.3600806,0,02
113-01,Otwock Świerk,52.1141656,21.3518234,0,01
113-02,Otwock Świerk,52.1133110,21.3491536,0,02
114-01,Otwock Batalionów Chłopskich,52.1123775,21.3433909,0,01
114-02,Otwock Batalionów Chłopskich,52.1125974,21.3423945,0,02
115-01,Otwock Świerk-Szkoła,52.1121511,21.3346268,0,01
115-02,Otwock Świerk-Szkoła,52.1122369,21.3339282,0,02
116-01,Otwock Stawowa,52.1120015,21.3240235,0,01
116-02,Otwock Stawowa,52.1123740,21.3216414,0,02
117-02,Otwock Górecka,52.1118808,21.3104833,0,02
118-01,Otwock Tatrzańska,52.1074759,21.3041135,0,01
118-02,Otwock Tatrzańska,52.1070030,21.3031369,0,02
118-03,Otwock Tatrzańska,52.1073472,21.3033319,0,03
119-01,Otwock Kubusia Puchatka,52.1054645,21.3010967,0,01
119-02,Otwock Kubusia Puchatka,52.1050922,21.3002156,0,02
120-01,PKP Śródborów,52.1019362,21.2955868,0,01
120-02,PKP Śródborów,52.1021940,21.2957411,0,02
121-01,Otwock Poniatowskiego,52.0969413,21.2868661,0,01
121-02,Otwock Poniatowskiego,52.0973698,21.2861811,0,02
122-01,Otwock 3 Maja,52.0993904,21.2793127,0,01
122-02,Otwock 3 Maja,52.0997134,21.2777731,0,02
123-01,Otwock Dwernickiego,52.0989558,21.2736685,0,01
123-02,Otwock Dwernickiego,52.0996666,21.2740660,0,02
124-01,Otwock Partyzantów,52.0963132,21.2715114,0,01
124-02,Otwock Partyzantów,52.0962473,21.2708261,0,02
125-01,Otwock Park Miejski,52.0995203,21.2696516,0,01
125-02,Otwock Park Miejski,52.0990920,21.2687387,0,02
125-03,Otwock Park Miejski,52.0990309,21.2685489,0,03
126-01,Otwock-Urząd Skarbowy,52.0983384,21.2662944,0,01
126-02,Otwock-Urząd Skarbowy,52.0983244,21.2681961,0,02
127-01,Otwock Olszowa,52.0998416,21.2581838,0,01
127-02,Otwock Olszowa,52.0996291,21.2583930,0,02
128-01,Otwock Zygmunta,52.1016501,21.2595053,0,01
128-02,Otwock Zygmunta,52.1015801,21.2589501,0,02
129-02,Otwock Hoża,52.1037740,21.2651783,0,02
130-01,Otwock Orla,52.1077951,21.2628554,0,01
130-02,Otwock Orla,52.1079936,21.2630284,0,02
131-01,Otwock Powstańców Warszawy,52.1054486,21.2636424,0,01
132-01,Otwock Szlachecka,52.1051925,21.2745840,0,01
132-02,Otwock Szlachecka,52.1045652,21.2737935,0,02
133-02,Otwock Kilińskiego,52.1080241,21.2759125,0,02
134-01,Otwock Reymonta,52.1099858,21.2769977,0,01
134-02,Otwock Reymonta,52.1092824,21.2771466,0,02
135-01,Otwock Borowa,52.1163902,21.2791284,0,01
135-02,Otwock Borowa,52.1169527,21.2792370,0,02
136-01,Otwock Teklin-Szpital,52.1217497,21.2853188,0,01
136-02,Otwock Teklin-Szpital,52.1215586,21.2845115,0,02
137-01,Otwock Jałowcowa,52.1247505,21.2931288,0,01
137-02,Otwock Jałowcowa,52.1246418,21.2918682,0,02
138-01,Otwock Teklin II,52.1254300,21.3009500,0,01
138-02,Otwock Teklin II,52.1256977,21.3000663,0,02
139-01,Otwock Teklin,52.1265065,21.3106901,0,01
139-02,Otwock Teklin,52.1262158,21.3092739,0,02
140-01,Otwock Nowa,52.1307181,21.3230499,0,01
140-02,Otwock Nowa,52.1305921,21.3221822,0,02
141-01,Otwock Wyszyńskiego,52.1329333,21.3270817,0,01
141-02,Otwock Wyszyńskiego,52.1321311,21.3256019,0,02
142-01,Wólka Mlądzka,52.1385160,21.3336612,0,01
142-02,Wólka Mlądzka,52.1367167,21.3363580,0,02
142-03,Wólka Mlądzka,52.1364607,21.3339343,0,03
142-04,Wólka Mlądzka,52.1364063,21.3335132,0,04
143-01,Rudka,52.1438198,21.3268199,0,01
143-02,Rudka,52.1427749,21.3276164,0,02
144-01,Radiówek,52.1534701,21.3157498,0,01
144-02,Radiówek,52.1531985,21.3168348,0,02
145-01,Radiówek-Osiedle,52.1540167,21.3117700,0,01
146-01,Emów-Gródek,52.1610151,21.3042290,0,01
146-02,Emów-Gródek,52.1602418,21.3050618,0,02
147-01,Wiązowna Sportowa,52.1673876,21.2952357,0,01
147-02,Wiązowna Sportowa,52.1668743,21.2955870,0,02
148-01,Wiązowna-Urząd Gminy,52.1726787,21.2931688,0,01
148-02,Wiązowna-Urząd Gminy,52.1718846,21.2921888,0,02
